kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
1161620,9,869.3493133,869.4106171,869.3697479,2.38E+34,FALSE,5977,1.022,4.473,6,0.003083987,0.06130388,55702.34931,55702.41062,55702.36975,This work
1161620,9,821.0009897,821.1031622,821.0214241,3.85E+34,FALSE,5977,1.022,4.473,6,0.005233461,0.102172412,55654.00099,55654.10316,55654.02142,This work
1161620,6,544.5591861,544.6409229,544.6000544,6.08E+34,FALSE,5977,1.022,4.473,6,0.0047,0.081736778,55377.55919,55377.64092,55377.60005,This work
1161620,7,706.7772213,706.8998173,706.7976539,7.42E+34,FALSE,5977,1.022,4.473,6,0.00449642,0.122595996,55539.77722,55539.89982,55539.79765,This work
1431693,7,631.3605582,631.4218566,631.380991,2.08E+34,FALSE,5438,1.12,4.329,NA,0.002124782,0.061298393,55464.36056,55464.42186,55464.38099,NA
1432278,17,1561.003537,1561.06484,1561.023971,5.45E+34,FALSE,5776,0.95,4.512,7,0.0097271,0.061303338,56394.00354,56394.06484,56394.02397,This work
1570466,14,1323.03892,1323.141088,1323.059354,6.07E+34,FALSE,5988,1.106,4.314,8,0.004132048,0.102168161,56156.03892,56156.14109,56156.05935,This work
1717672,13,1231.759131,1231.820435,1231.779566,2.27E+34,FALSE,5851,0.946,4.473,NA,0.003865203,0.061303913,56064.75913,56064.82043,56064.77957,NA
1718360,12,1135.677053,1135.738353,1135.697486,8.99E+33,FALSE,5908,1.004,4.436,2,0.002518671,0.061300824,55968.67705,55968.73835,55968.69749,This work
1718360,12,1145.730438,1145.791739,1145.750871,1.08E+34,FALSE,5908,1.004,4.436,2,0.00236178,0.061301394,55978.73044,55978.79174,55978.75087,This work
1718360,15,1378.739701,1378.800999,1378.760134,2.54E+34,FALSE,5908,1.004,4.436,2,0.003153735,0.061298282,56211.7397,56211.801,56211.76013,This work
1718360,3,312.1238353,312.2259979,312.1442678,3.65E+34,FALSE,5908,1.004,4.436,2,0.0033,0.102162613,55145.12384,55145.226,55145.14427,This work
1718360,16,1497.63785,1497.719584,1497.658284,6.07E+34,FALSE,5908,1.004,4.436,2,0.003123484,0.081733639,56330.63785,56330.71958,56330.65828,This work
1718985,15,1431.374035,1431.435332,1431.394467,4.90E+34,FALSE,5891,1.118,4.331,13,0.003985546,0.061297504,56264.37403,56264.43533,56264.39447,This work
1723978,13,1227.774261,1227.835565,1227.794696,2.15E+34,FALSE,5881,0.941,4.492,8,0.003492856,0.061303955,56060.77426,56060.83556,56060.7947,This work
1725688,8,736.0370996,736.0983988,736.0575328,2.23E+34,FALSE,5662,0.935,4.512,9,0.004478567,0.061299154,55569.0371,55569.0984,55569.05753,This work
1725688,12,1143.911782,1143.973083,1143.932215,3.44E+34,FALSE,5662,0.935,4.512,9,0.007578153,0.061301163,55976.91178,55976.97308,55976.93222,This work
1870162,9,843.2133196,843.2746235,843.2337544,4.98E+34,FALSE,5966,1.051,4.362,NA,0.006348112,0.061303878,55676.21332,55676.27462,55676.23375,NA
1995130,16,1527.00131,1527.062612,1527.021744,2.43E+34,FALSE,5962,0.946,4.448,NA,0.003844107,0.061302195,56360.00131,56360.06261,56360.02174,NA
2016814,3,260.5929248,260.6542232,260.6133575,6.49E+34,FALSE,5648,1.142,4.332,NA,0.0114,0.061298434,55093.59292,55093.65422,55093.61336,NA
2020086,7,689.940899,690.0021966,689.9613316,3.14E+34,FALSE,5551,1.137,4.266,NA,0.006923835,0.061297588,55522.9409,55523.0022,55522.96133,NA
2154980,2,243.8991132,243.9604122,243.9195463,2.36E+34,FALSE,5462,0.933,4.436,NA,0.006,0.061299054,55076.89911,55076.96041,55076.91955,NA
2156809,14,1279.964096,1280.025399,1279.98453,7.48E+34,FALSE,5622,0.957,4.451,NA,0.014736853,0.061302808,56112.9641,56113.0254,56112.98453,NA
2157949,6,541.1874836,541.2487862,541.2079178,8.82E+34,FALSE,5541,0.922,4.525,NA,0.0177,0.061302617,55374.18748,55374.24879,55374.20792,NA
2159377,17,1576.922045,1576.983349,1576.94248,1.49E+35,FALSE,5780,1,4.438,NA,0.023929551,0.061303702,56409.92205,56409.98335,56409.94248,NA
2166371,9,816.9548598,817.016163,816.9752942,4.65E+34,FALSE,5942,0.938,4.506,7,0.006980274,0.061303259,55649.95486,55650.01616,55649.97529,This work
2166371,9,861.6861632,861.7474671,861.7065977,4.78E+34,FALSE,5942,0.938,4.506,7,0.013041149,0.06130393,55694.68616,55694.74747,55694.7066,This work
2302288,2,204.1154185,204.1971532,204.1358521,7.41E+33,FALSE,5904,1.008,4.447,9,0.001,0.08173469,55037.11542,55037.19715,55037.13585,This work
2303279,15,1388.077499,1388.138797,1388.097931,1.83E+34,FALSE,5936,0.965,4.501,13,0.003545891,0.061298048,56221.0775,56221.1388,56221.09793,This work
2306621,7,631.1767061,631.2380046,631.1971389,8.33E+34,FALSE,5911,0.94,4.46,10,0.004001435,0.061298488,55464.17671,55464.238,55464.19714,This work
2308761,11,1044.280886,1044.342184,1044.301319,3.27E+34,FALSE,5780,1,4.438,1,0.004467763,0.061297551,55877.28089,55877.34218,55877.30132,This work
2308761,11,1007.175238,1007.256969,1007.19567,6.63E+34,FALSE,5780,1,4.438,1,0.008370402,0.081731153,55840.17524,55840.25697,55840.19567,This work
2308761,11,1014.387999,1014.46973,1014.408432,9.07E+34,FALSE,5780,1,4.438,1,0.027876267,0.081730729,55847.388,55847.46973,55847.40843,This work
2308761,12,1120.821963,1120.903696,1120.842396,1.05E+35,FALSE,5780,1,4.438,1,0.009753643,0.081733078,55953.82196,55953.9037,55953.8424,This work
2308761,12,1131.202116,1131.28385,1131.222549,1.05E+35,FALSE,5780,1,4.438,1,0.019607054,0.081733858,55964.20212,55964.28385,55964.22255,This work
2308761,10,926.4837269,926.545029,926.504161,1.08E+35,FALSE,5780,1,4.438,1,0.018849304,0.061302178,55759.48373,55759.54503,55759.50416,This work
2308761,10,970.3140337,970.3753337,970.3344671,1.09E+35,FALSE,5780,1,4.438,1,0.006716223,0.061300012,55803.31403,55803.37533,55803.33447,This work
2308761,12,1133.184164,1133.286332,1133.204597,1.27E+35,FALSE,5780,1,4.438,1,0.007644001,0.102167613,55966.18416,55966.28633,55966.2046,This work
2308761,10,957.7678969,957.8291976,957.7883304,1.29E+35,FALSE,5780,1,4.438,1,0.005036864,0.06130065,55790.7679,55790.8292,55790.78833,This work
2308761,12,1109.113757,1109.215923,1109.134191,1.35E+35,FALSE,5780,1,4.438,1,0.013517119,0.102165409,55942.11376,55942.21592,55942.13419,This work
2308761,17,1566.847711,1566.949884,1566.868146,1.35E+35,FALSE,5780,1,4.438,1,0.012971814,0.102172462,56399.84771,56399.94988,56399.86815,This work
2308761,5,519.097844,519.1795821,519.138713,1.50E+35,FALSE,5780,1,4.438,1,0.0167,0.08173806,55352.09784,55352.17958,55352.13871,This work
2308761,8,777.3739534,777.4556886,777.3943871,1.58E+35,FALSE,5780,1,4.438,1,0.016346134,0.081735145,55610.37395,55610.45569,55610.39439,This work
2308761,2,236.5024546,236.5841874,236.5228879,1.83E+35,FALSE,5780,1,4.438,1,0.0139,0.081732741,55069.50245,55069.58419,55069.52289,This work
2308761,9,824.0456247,824.1069282,824.0660593,1.99E+35,FALSE,5780,1,4.438,1,0.007465399,0.061303468,55657.04562,55657.10693,55657.06606,This work
2308761,10,939.9088387,939.9905742,939.9292727,2.01E+35,FALSE,5780,1,4.438,1,0.042935446,0.081735495,55772.90884,55772.99057,55772.92927,This work
2308761,3,286.1338226,286.2359856,286.1746879,2.22E+35,FALSE,5780,1,4.438,1,0.0376,0.102162983,55119.13382,55119.23599,55119.17469,This work
2308761,10,967.7189965,967.8211635,967.7598634,2.22E+35,FALSE,5780,1,4.438,1,0.025663237,0.102167003,55800.719,55800.82116,55800.75986,This work
2308761,2,249.7635218,249.8452537,249.7839548,2.39E+35,FALSE,5780,1,4.438,1,0.0153,0.081731915,55082.76352,55082.84525,55082.78395,This work
