kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
892882,9,813.3789251,813.4402283,813.3993596,2.53E+34,FALSE,5149,0.789,4.518,0.00328721,0.061303172,55646.37893,55646.44023,55646.39936
1162725,17,1561.167012,1561.228316,1561.187447,1.39E+34,FALSE,5153,0.833,4.51,0.005333934,0.061303356,56394.16701,56394.22832,56394.18745
1570924,8,794.5181241,794.5794266,794.5385582,2.48E+34,FALSE,4961,0.762,4.543,0.015854463,0.06130248,55627.51812,55627.57943,55627.53856
1570924,8,740.3893199,740.4506195,740.409753,2.71E+34,FALSE,4961,0.762,4.543,0.009237322,0.061299511,55573.38932,55573.45062,55573.40975
1570924,8,778.3343717,778.3956735,778.3548056,3.07E+34,FALSE,4961,0.762,4.543,0.009831737,0.061301754,55611.33437,55611.39567,55611.35481
1570924,16,1491.977801,1492.100401,1491.998234,4.39E+34,FALSE,4961,0.762,4.543,0.020036741,0.122599806,56324.9778,56325.1004,56324.99823
1570924,5,460.7571991,460.8389375,460.7776337,4.46E+34,FALSE,4961,0.762,4.543,0.015843731,0.081738338,55293.7572,55293.83894,55293.77763
1570924,5,528.4160875,528.4978251,528.436522,4.46E+34,FALSE,4961,0.762,4.543,0.040426656,0.081737573,55361.41609,55361.49783,55361.43652
1570924,8,748.7669531,748.889553,748.8078196,5.57E+34,FALSE,4961,0.762,4.543,0.029154099,0.12259995,55581.76695,55581.88955,55581.80782
1570924,1,134.4552862,134.5370245,134.4757208,6.81E+34,FALSE,4961,0.762,4.543,0.027167781,0.08173832,54967.45529,54967.53702,54967.47572
1570924,1,159.9779423,160.0596797,159.9983767,6.81E+34,FALSE,4961,0.762,4.543,0.028916944,0.081737385,54992.97794,54993.05968,54992.99838
1570924,15,1407.999237,1408.121832,1408.019669,9.25E+34,FALSE,4961,0.762,4.543,0.023020892,0.122595178,56240.99924,56241.12183,56241.01967
1570924,15,1430.3524,1430.495427,1430.372832,1.03E+35,FALSE,4961,0.762,4.543,0.016094066,0.143027806,56263.3524,56263.49543,56263.37283
