kepler_id,flare_peak_BJD,This work,,,,,Okamoto et al. (2021),,,,
,,Teff,Radius,P_rot,Duration,Energy,Teff,Radius,P_rot,Duration,Energy
3217852,55648.38,5851,0.923,16,0.06,9.79E+33,5852,1.137,17.043,0.06,6.60E+33
3217852,56021.66,5851,0.923,16,0.06,1.37E+34,5852,1.137,17.043,0.06,7.30E+33
3217852,56050.95,5851,0.923,16,0.08,1.76E+34,5852,1.137,17.043,0.08,1.40E+34
3217852,56084.25,5851,0.923,16,0.06,1.37E+34,5852,1.137,17.043,0.08,1.70E+34
3217852,56160.70,5851,0.923,16,0.06,1.10E+34,5852,1.137,17.043,0.06,1.10E+34
3853938,55197.55,5929,0.913,2,0.08,5.83E+34,5928,1.418,2.223,0.1,9.60E+34
3853938,55341.92,5929,0.913,2,0.06,3.58E+34,5928,1.418,2.223,0.1,6.90E+34
3853938,55689.27,5929,0.913,2,0.06,3.59E+34,5928,1.418,2.223,0.06,4.80E+34
3869649,55004.30,5525,0.901,1,0.20,2.98E+35,5524,0.859,1.921,0.21,1.90E+35
3869649,55061.78,5525,0.901,1,0.10,1.55E+35,5524,0.859,1.921,0.08,5.70E+34
3869649,55202.44,5525,0.901,1,0.08,2.21E+35,5524,0.859,1.921,0.19,9.70E+34
3869649,55243.90,5525,0.901,1,0.14,4.17E+35,5524,0.859,1.921,0.21,2.70E+35
3869649,55268.36,5525,0.901,1,0.10,2.94E+35,5524,0.859,1.921,0.21,2.50E+35
3869649,55348.09,5525,0.901,1,0.06,9.75E+34,5524,0.859,1.921,0.21,7.10E+34
3869649,55656.76,5525,0.901,1,0.14,2.53E+35,5524,0.859,1.921,0.23,2.20E+35
3869649,55680.83,5525,0.901,1,0.06,9.29E+34,5524,0.859,1.921,0.1,4.00E+34
3869649,55684.08,5525,0.901,1,0.10,1.87E+35,5524,0.859,1.921,0.21,1.60E+35
3869649,55732.00,5525,0.901,1,0.06,9.95E+34,5524,0.859,1.921,0.17,6.20E+34
3869649,56342.90,5525,0.901,1,0.06,7.01E+34,5524,0.859,1.921,0.12,4.10E+34
3869649,56347.33,5525,0.901,1,0.10,1.29E+35,5524,0.859,1.921,0.21,8.40E+34
4276035,55975.58,5210,0.979,23.769,0.06,2.35E+34,5212,0.755,23.769,0.08,1.00E+34
4276035,56260.53,5210,0.979,23.769,0.06,3.20E+34,5212,0.755,23.769,0.1,1.30E+34
4749912,54975.49,5734,1.127,5,0.08,6.57E+34,5736,0.845,5.066,0.1,2.30E+34
4749912,55020.65,5734,1.127,5,0.06,3.81E+34,5736,0.845,5.066,0.06,1.00E+34
4749912,55064.68,5734,1.127,5,0.06,3.81E+34,5736,0.845,5.066,0.08,1.50E+34
4749912,55100.11,5734,1.127,5,0.06,3.39E+34,5736,0.845,5.066,0.1,1.30E+34
4749912,55126.31,5734,1.127,5,0.06,4.94E+34,5736,0.845,5.066,0.08,8.40E+33
4749912,55244.51,5734,1.127,5,0.06,1.00E+35,5736,0.845,5.066,0.15,1.80E+34
4749912,55261.02,5734,1.127,5,0.10,1.26E+35,5736,0.845,5.066,0.19,5.90E+34
4749912,55857.97,5734,1.127,5,0.08,7.36E+34,5736,0.845,5.066,0.12,1.80E+34
4749912,55886.52,5734,1.127,5,0.08,7.36E+34,5736,0.845,5.066,0.15,2.90E+34
4749912,55901.41,5734,1.127,5,0.10,9.58E+34,5736,0.845,5.066,0.12,3.90E+34
4749912,56295.82,5734,1.127,5,0.08,7.38E+34,5736,0.845,5.066,0.1,2.50E+34
5953631,55331.77,5911,0.997,14,0.06,6.41E+34,5911,0.973,14.778,0.08,3.00E+34
6110415,55386.47,5857,1.045,7,0.06,1.86E+34,5857,0.841,6.904,0.08,7.50E+33
6110415,55664.06,5857,1.045,7,0.06,3.01E+34,5857,0.841,6.904,0.06,5.30E+33
6110415,55694.58,5857,1.045,7,0.08,4.41E+34,5857,0.841,6.904,0.19,3.10E+34
6110415,56011.02,5857,1.045,7,0.06,1.54E+34,5857,0.841,6.904,0.1,9.30E+33
6110415,56113.37,5857,1.045,7,0.08,3.17E+34,5857,0.841,6.904,0.15,1.80E+34
6610891,54988.62,5912,1.008,4,0.06,1.67E+34,5912,1.003,3.954,0.17,1.50E+34
6613812,55035.15,5970,0.908,14,0.10,7.63E+34,5967,0.98,14.395,0.06,2.20E+34
6630715,55253.77,5463,1.077,9,0.06,3.54E+34,5464,0.993,9.666,0.1,1.70E+34
6865484,55025.63,5937,0.973,10,0.06,4.31E+34,5940,1.024,10.536,0.08,9.50E+33
6865484,55065.21,5937,0.973,10,0.06,3.74E+34,5940,1.024,10.536,0.06,2.50E+34
6865484,55193.14,5937,0.973,10,0.08,4.04E+34,5940,1.024,10.536,0.17,2.50E+34
6865484,55325.41,5937,0.973,10,0.06,2.29E+34,5940,1.024,10.536,0.06,1.40E+34
6865484,55339.20,5937,0.973,10,0.20,9.14E+34,5940,1.024,10.536,0.21,4.10E+34
