kepler_id,RA,Dec,Teff,logg,Radius,Prot
1026294,291.10638,36.792309,7892,3.921,2.496,
1292798,290.95474,36.938221,8177,3.942,2.414,
1293814,291.21628,36.991871,7870,4.042,2.042,
1294756,291.42227,36.971291,8615,3.784,3.003,
1433725,291.7088,37.03952,8529,3.769,3.065,
1434660,291.91788,37.04398,7526,3.878,2.657,
1572201,291.1554,37.130981,8552,3.769,3.061,
1574306,291.59753,37.12925,9371,4.053,2.368,
1576115,291.9743,37.12495,8254,4.083,1.996,
1576144,291.98001,37.175621,9181,4.003,2.507,
1577912,292.33377,37.180012,8220,3.949,2.39,
1718222,290.73743,37.249088,7989,3.838,3.008,
1718594,290.83066,37.272572,7796,3.972,2.355,
1719472,291.05096,37.240959,7577,3.639,3.694,
1721361,291.50244,37.220779,9111,3.857,2.71,
1724316,292.11993,37.230888,8485,3.762,3.096,
1864603,290.58255,37.300579,8963,3.978,2.558,
1865567,290.80588,37.37344,9888,4.209,1.979,
1870057,291.85193,37.324051,9642,3.846,2.869,
1872324,292.31754,37.315971,9534,4.16,2.064,
1872948,292.453,37.30162,7710,3.649,3.567,
1873552,292.58746,37.317261,7914,3.804,3.036,
1995431,286.11945,37.43726,7586,4.263,1.576,
1995710,286.20953,37.421272,7785,3.841,2.547,
2015501,291.66159,37.463089,7543,3.865,2.83,
2018261,292.28122,37.403191,7516,3.8,2.935,
2156581,290.61697,37.560379,9294,4.227,1.853,
2157489,290.82904,37.507511,7725,3.66,3.556,
2157841,290.90701,37.563011,8111,3.834,2.949,
2158190,290.99719,37.522041,8267,3.723,3.269,
2158208,291.00043,37.540791,9883,4.142,1.973,
2167728,293.06064,37.517551,7972,3.908,2.619,
2168333,293.18582,37.59338,8363,3.803,3.149,
2168420,293.20261,37.596291,8026,4.007,2.282,
2282763,285.89975,37.607948,8014,3.72,3.274,
2301163,291.04794,37.635342,7580,4.093,1.949,
2303365,291.53647,37.683338,7517,3.643,3.603,
2309252,292.82263,37.626572,7874,3.627,3.83,
2310119,293.02356,37.607868,7564,3.834,2.923,
2310188,293.04028,37.639359,9651,4.426,1.329,
2425057,286.89008,37.744492,7861,3.483,4.311,
2437762,290.24976,37.76757,7680,3.997,2.173,
2438249,290.29459,37.758751,7540,3.969,2.258,
2439660,290.57401,37.723099,8230,3.905,2.685,
2441702,291.06763,37.796928,7828,3.791,3.13,
2442118,291.16821,37.771881,9338,3.839,3.207,
