kepler_id,ra,dec,Teff,logg,Radius
1028012,291.47073,36.727581,6416,4.24,1.266
1028640,291.59711,36.788509,6315,4.315,1.213
1161537,291.09253,36.861698,6413,4.258,1.36
1162617,291.3309,36.881561,6496,4.302,1.28
1163248,291.46881,36.861069,6319,4.25,1.225
1295980,291.66757,36.990639,6037,4.364,1.171
1296721,291.82755,36.994308,6071,4.184,1.295
1429290,290.68201,37.081692,6516,4.372,1.183
1432214,291.38269,37.07299,6018,4.327,1.212
1432735,291.48648,37.007,6392,4.399,1.162
1433972,291.76373,37.011921,6722,4.253,1.374
1434397,291.85666,37.035259,6559,4.256,1.375
1435836,292.16498,37.090141,6525,4.277,1.333
1569746,290.5976,37.189442,6447,4.214,1.344
1569792,290.60815,37.147652,6496,4.272,1.33
1570150,290.68387,37.139851,6416,4.316,1.235
1570918,290.86261,37.195049,6008,4.128,1.367
1572685,291.26797,37.168709,6175,4.23,1.279
1573742,291.48407,37.100971,6033,4.179,1.344
1575206,291.77982,37.16013,6296,4.217,1.35
1575422,291.82907,37.131512,6011,4.242,1.239
1577077,292.16351,37.102081,6777,4.261,1.336
1577202,292.18625,37.172081,6391,4.388,1.154
1577819,292.31421,37.198059,6629,4.327,1.268
1701554,286.17911,37.288876,6131,4.234,1.295
1718401,290.78137,37.276958,6188,4.266,1.251
1719026,290.94122,37.21069,6329,4.186,1.403
1719227,290.99014,37.293129,6363,4.386,1.198
1721231,291.47223,37.248501,6071,4.194,1.295
1721795,291.59616,37.263641,6533,4.24,1.375
1723516,291.96185,37.246498,6623,4.355,1.261
1724355,292.12878,37.268978,6127,4.239,1.194
1724719,292.20471,37.221218,6174,4.244,1.318
1725193,292.29431,37.26173,6095,4.371,1.158
1725415,292.3407,37.279861,6261,4.178,1.399
1849159,286.1235,37.341801,6180,4.137,1.373
1850100,286.40982,37.365559,6492,4.378,1.206
1864987,290.66736,37.317429,6115,4.276,1.208
1865087,290.69397,37.337479,6250,4.225,1.353
1866252,290.96402,37.334179,6102,4.276,1.225
1868018,291.39899,37.300098,6014,4.142,1.344
1870957,292.02795,37.37529,6007,4.329,1.157
1872012,292.25327,37.304119,6369,4.386,1.159
1872154,292.28452,37.37104,6572,4.365,1.238
1995038,286.00485,37.47998,6050,4.152,1.307
1995461,286.13028,37.41069,6443,4.297,1.262
1995489,286.14087,37.496849,6418,4.395,1.171
1996169,286.34045,37.406898,6171,4.245,1.254
1996180,286.3443,37.411968,6123,4.263,1.263
2010152,290.37881,37.481419,6050,4.08,1.333
2010256,290.40479,37.48774,6163,4.252,1.197
2011824,290.80524,37.439541,6198,4.215,1.32
2012273,290.90659,37.446609,6387,4.223,1.404
2012362,290.92523,37.476318,6438,4.26,1.246
2012565,290.97488,37.463371,6403,4.224,1.387
2013368,291.16449,37.49144,6523,4.234,1.293
2013402,291.1701,37.400291,6119,4.334,1.153
2016295,291.8522,37.486919,6419,4.245,1.387
2018304,292.2923,37.419621,6065,4.227,1.337
2018685,292.38004,37.471512,6677,4.369,1.188
2018827,292.40594,37.418919,6144,4.308,1.256
2019140,292.47531,37.421341,6146,4.192,1.353
2019662,292.58981,37.487438,6313,4.233,1.348
2019881,292.63635,37.424809,6377,4.26,1.331
2021099,292.89081,37.497768,6140,4.208,1.341
2140552,285.97141,37.53664,6240,4.358,1.18
2141746,286.35666,37.5186,6396,4.208,1.403
2142433,286.59177,37.585808,6026,4.214,1.239
2142522,286.62576,37.5373,6113,4.341,1.218
2156123,290.50592,37.541592,6534,4.365,1.199
2156245,290.53699,37.55949,6452,4.309,1.258
2156404,290.57211,37.565979,6535,4.373,1.181
2156998,290.72189,37.518242,6270,4.173,1.302
2157630,290.86057,37.5424,6119,4.215,1.267
2158067,290.96448,37.562092,6499,4.318,1.283
2158221,291.00604,37.515961,6184,4.254,1.382
2158238,291.00876,37.540089,6968,4.331,1.231
2158750,291.13217,37.573528,6131,4.166,1.349
2159713,291.34366,37.53981,6263,4.285,1.171
2159834,291.37045,37.563938,6228,4.252,1.218
2161515,291.72247,37.592579,6091,4.265,1.215
2162673,291.98737,37.510559,6065,4.273,1.254
2163636,292.17911,37.56918,6508,4.165,1.389
2164951,292.4603,37.561825,6325,4.344,1.222
2165742,292.63321,37.53384,6440,4.313,1.241
2167039,292.91644,37.574211,6082,4.333,1.162
2167334,292.9772,37.50721,6555,4.374,1.178
2167587,293.02826,37.505379,6224,4.247,1.186
2284184,286.36688,37.686569,6185,4.348,1.154
2284620,286.50735,37.679649,6418,4.395,1.171
2285698,286.87207,37.673458,6173,4.251,1.259
2285791,286.90503,37.685612,6612,4.383,1.155
2298013,290.30954,37.617561,6216,4.379,1.155
2298058,290.31955,37.674149,6006,4.129,1.338
2298692,290.45825,37.690689,6257,4.323,1.17
2300104,290.80325,37.64777,6313,4.313,1.182
2300167,290.82022,37.632801,6418,4.395,1.171
2300319,290.85196,37.699654,6228,4.163,1.393
2300961,291.00186,37.60601,6100,4.336,1.23
2301492,291.12802,37.627048,6466,4.386,1.154
2301910,291.21841,37.66679,6369,4.319,1.175
2302176,291.27957,37.671371,6168,4.348,1.213
2302615,291.37662,37.66885,6319,4.252,1.279
2303356,291.53345,37.62986,6109,4.337,1.209
2303394,291.54327,37.67305,6213,4.387,1.195
2303748,291.60983,37.648739,6138,4.221,1.403
2304303,291.73676,37.61974,6113,4.272,1.269
2304570,291.80051,37.668839,6085,4.269,1.32
2305550,292.02905,37.676128,6455,4.29,1.189
2305862,292.09189,37.635525,6431,4.309,1.249
2305940,292.10806,37.6469,6457,4.298,1.259
2306616,292.2446,37.61832,6671,4.362,1.204
2306825,292.29013,37.680538,6017,4.298,1.169
2307415,292.42108,37.682819,6140,4.265,1.277
2307470,292.43481,37.61401,6035,4.194,1.197
2308182,292.59402,37.669411,6000,4.296,1.19
2308411,292.63766,37.64188,6363,4.386,1.198
