kepler_id,RA,Dec,Teff,logg,Radius,Prot
892986,291.19647,36.668381,5825,4.504,0.965,
1027877,291.44397,36.710258,5896,4.518,0.916,
1027900,291.4487,36.735378,5964,4.447,1.004,
1161620,291.10931,36.80006,5977,4.473,1.022,
1163579,291.54645,36.855469,5721,4.445,0.959,
1293667,291.18445,36.99197,5914,4.316,1.114,
1294648,291.39789,36.917229,5745,4.375,1.071,
1294997,291.47815,36.99844,5993,4.489,0.986,
1295162,291.5087,36.986961,5941,4.519,0.911,
1295427,291.56262,36.949409,5836,4.5,0.97,
1295448,291.56769,36.966499,5703,4.498,0.975,
1297463,291.98996,36.990719,5854,4.396,0.999,
1429337,290.69308,37.06216,5992,4.45,0.96,
1429345,290.69461,37.099731,5878,4.424,1.035,
1429375,290.70123,37.037479,5778,4.531,0.911,
1429385,290.70337,37.006561,5910,4.505,0.94,
1429795,290.80493,37.04776,5523,4.398,0.936,
1430511,290.98785,37.062099,5803,4.481,0.904,
1430865,291.08176,37.07402,5585,4.289,1.128,
1431693,291.27615,37.035641,5438,4.329,1.12,
1432248,291.38879,37.021252,5997,4.441,0.999,
1432278,291.39606,37.022072,5776,4.512,0.95,
1432469,291.43228,37.093491,5525,4.273,1.131,
1433531,291.66547,37.076118,5642,4.4,0.97,
1433894,291.74652,37.095718,5714,4.463,0.98,
1434277,291.82703,37.080742,5750,4.499,0.947,
1434988,291.98505,37.042053,5780,4.438,1,
1569974,290.64819,37.125881,5911,4.37,1.068,
1570099,290.67407,37.141911,5808,4.475,0.938,
1570191,290.69614,37.17886,5778,4.337,1.081,
1570466,290.75815,37.14333,5988,4.314,1.106,
1570608,290.79333,37.14365,5876,4.37,1.073,
1572156,291.1452,37.193111,5957,4.42,1.099,
1572220,291.159,37.191551,5610,4.467,0.922,
1572222,291.15936,37.140411,5982,4.493,0.96,
1572768,291.28638,37.12394,5780,4.438,1,
1574550,291.64835,37.129398,5780,4.438,1,
1575580,291.86142,37.17157,5833,4.438,1.007,
1576704,292.09256,37.161869,5991,4.484,0.978,
1576739,292.09958,37.1745,5999,4.494,0.959,
