kepler_id,ra,dec,Teff,logg,Radius
892718,291.14172,36.648312,5110,4.574,0.704
892772,291.15338,36.678841,5037,4.547,0.751
892832,291.16318,36.674309,5196,4.56,0.782
892834,291.16327,36.62759,4940,4.615,0.721
892882,291.17325,36.69836,5149,4.518,0.789
893033,291.20749,36.667709,4862,4.607,0.737
1026287,291.10431,36.716782,4989,4.545,0.765
1026328,291.11456,36.727219,4946,4.585,0.735
1026957,291.25449,36.74361,4859,4.612,0.72
1027226,291.31268,36.793999,5074,4.537,0.763
1027252,291.31686,36.783009,4985,4.549,0.744
1027397,291.34589,36.729549,5045,4.542,0.753
1028843,291.63968,36.793522,5197,4.516,0.805
1162181,291.23218,36.822281,5098,4.518,0.787
1162725,291.3541,36.88958,5153,4.51,0.833
1162850,291.38458,36.874859,5044,4.52,0.788
1163090,291.43665,36.819969,4877,4.571,0.744
1163303,291.48193,36.834229,5044,4.589,0.754
1164272,291.68604,36.86655,5088,4.517,0.79
1293564,291.16196,36.94133,4879,4.558,0.735
1293587,291.16757,36.984829,4914,4.555,0.738
1293861,291.22626,36.974819,5118,4.607,0.747
1293907,291.23825,36.945511,5076,4.533,0.781
1293993,291.25613,36.936562,4996,4.606,0.758
1294535,291.3728,36.96981,4753,4.589,0.703
1295195,291.5141,36.968418,4903,4.576,0.741
1295289,291.53604,36.9963,5060,4.598,0.765
1295375,291.55154,36.951382,4972,4.552,0.77
1296787,291.8428,36.95557,4828,4.573,0.729
1297058,291.90344,36.94738,5024,4.613,0.736
1429153,290.65417,37.081799,5193,4.503,0.805
1429575,290.75278,37.07283,5173,4.611,0.737
1429893,290.82825,37.027931,4887,4.611,0.741
1430171,290.88986,37.082619,4771,4.566,0.729
1430330,290.93497,37.053532,4710,4.617,0.732
1431114,291.14087,37.077251,4949,4.531,0.792
1431287,291.18167,37.073521,5088,4.508,0.806
1432700,291.47934,37.04834,4656,4.602,0.728
1432847,291.51175,37.07312,4838,4.596,0.723
1433040,291.55167,37.012081,4977,4.606,0.737
1433755,291.71497,37.0369,4938,4.617,0.718
1434288,291.8288,37.01664,5002,4.543,0.753
1434976,291.9816,37.030621,4613,4.623,0.715
1435038,291.99521,37.012001,5120,4.527,0.797
1435143,292.0134,37.039131,5176,4.502,0.812
1435260,292.03842,37.064919,4786,4.499,0.833
1569909,290.6351,37.129478,5109,4.492,0.829
1569985,290.6499,37.159389,4896,4.602,0.726
1570924,290.86359,37.126041,4961,4.543,0.762
1572038,291.12115,37.171551,4994,4.542,0.756
1572725,291.27792,37.135269,5002,4.543,0.753
1574944,291.72952,37.115799,4798,4.614,0.733
1575424,291.8291,37.14061,4866,4.554,0.753
1575855,291.92059,37.101711,5112,4.597,0.781
1576071,291.96631,37.133709,5035,4.519,0.791
1576607,292.0719,37.107079,4874,4.557,0.741
1576623,292.07513,37.11964,5162,4.605,0.754
1701553,286.17902,37.278172,4818,4.481,0.856
1717465,290.56229,37.235809,5136,4.471,0.862
1717515,290.57349,37.22797,5047,4.489,0.853
1717999,290.68433,37.22501,4994,4.56,0.73
1719358,291.02161,37.276581,4710,4.628,0.7
1721157,291.45734,37.206841,5119,4.591,0.781
1722134,291.67078,37.202259,5147,4.619,0.725
1722623,291.76633,37.28854,4918,4.481,0.86
1722627,291.76663,37.278091,5199,4.588,0.704
1723529,291.96347,37.26413,5118,4.607,0.747
1724806,292.22037,37.228062,5134,4.58,0.819
1725633,292.3815,37.260281,5150,4.62,0.72
1849403,286.20029,37.325218,5141,4.499,0.881
1849689,286.28308,37.352341,4893,4.542,0.761
1865477,290.78598,37.31123,4999,4.544,0.787
1866985,291.14758,37.385571,5167,4.511,0.799
1867210,291.20096,37.380291,4977,4.548,0.747
1867645,291.31372,37.38728,4827,4.558,0.737
1869371,291.7034,37.308979,5133,4.592,0.779
1871483,292.13239,37.388481,4861,4.574,0.709
1871517,292.1391,37.338791,4885,4.541,0.763
1871665,292.17474,37.34745,5078,4.526,0.777
1872289,292.31049,37.331161,4883,4.617,0.716
1872433,292.34299,37.32901,5082,4.605,0.744
1872688,292.39581,37.329979,5066,4.583,0.71
1874294,292.75317,37.348789,4847,4.535,0.777
1995140,286.03815,37.472439,4757,4.527,0.795
1995315,286.08493,37.462742,5069,4.525,0.782
1996273,286.36853,37.446621,4975,4.557,0.732
1996637,286.47406,37.441738,5138,4.536,0.756
1996668,286.48547,37.44231,5040,4.53,0.773
1996773,286.52271,37.475182,5032,4.479,0.859
2010161,290.38068,37.44207,4976,4.577,0.701
2011214,290.64804,37.439449,5094,4.612,0.736
2011428,290.70352,37.428524,4977,4.536,0.778
2011878,290.82144,37.492229,4927,4.567,0.718
2012486,290.95822,37.411221,4955,4.533,0.779
2012631,290.98907,37.435181,4951,4.578,0.795
