kepler_id,ra,dec,Teff,logg,Radius
1293177,291.06366,36.994308,3385,5.077,0.216
1431845,291.30658,37.05212,3694,4.686,0.566
1432978,291.53964,37.070702,3683,4.688,0.563
1433760,291.71573,37.004219,3295,5.073,0.213
1569863,290.6265,37.142689,3587,4.912,0.357
1724234,292.10266,37.23151,3504,4.936,0.319
1867358,291.24002,37.331589,3625,4.828,0.429
1873513,292.57986,37.376411,3386,4.81,0.427
2012731,291.01511,37.414719,3470,4.97,0.289
2142451,286.60022,37.527699,3489,4.868,0.379
2157356,290.80032,37.517891,3651,4.855,0.402
2282712,285.88242,37.641129,3452,4.923,0.33
2283749,286.23285,37.643372,3694,4.686,0.566
2284919,286.60318,37.67131,3560,4.83,0.421
2299892,290.75552,37.684509,3681,4.789,0.46
2300039,290.79013,37.66103,3408,4.923,0.325
2305283,291.97119,37.64547,3504,4.858,0.389
2441562,291.03546,37.788029,3611,4.878,0.378
2449101,292.69855,37.778481,3424,4.913,0.337
2451529,293.24615,37.71719,3344,4.976,0.274
2557350,286.81915,37.859009,3628,4.842,0.41
2557669,286.91983,37.878159,3671,4.827,0.43
2572698,290.76395,37.886356,3669,4.75,0.501
2574201,291.10846,37.857792,3687,4.813,0.44
2577743,291.85959,37.896381,3673,4.691,0.56
2693779,286.12915,37.98531,3683,4.688,0.563
2694204,286.24875,37.910156,2661,5.283,0.116
2695885,286.78326,37.954189,3373,4.952,0.296
2707091,290.04471,37.997726,3678,4.89,0.368
2721113,293.20782,37.94598,3536,4.992,0.296
2831828,285.7532,38.056946,2891,5.226,0.131
2832720,286.04691,38.08839,3211,5.151,0.168
2834564,286.62314,38.080341,3530,4.876,0.376
2834637,286.64944,38.069069,3236,5.09,0.196
2834778,286.69421,38.01527,3625,4.828,0.429
2837046,287.42245,38.045349,3385,4.973,0.28
2837405,287.53085,38.025242,3678,4.848,0.41
2847357,290.29739,38.033741,3665,4.832,0.426
2849808,290.88519,38.043934,2661,5.283,0.116
2849894,290.90329,38.068531,3583,4.922,0.339
2859114,292.84479,38.075779,3398,4.967,0.288
2969839,285.79449,38.193081,3681,4.789,0.46
2971272,286.26373,38.175838,3687,4.813,0.44
2971472,286.33505,38.174313,3193,5.113,0.183
2973361,286.97375,38.117611,3628,4.825,0.431
2973500,287.02158,38.137039,3553,4.906,0.358
2983661,290.00259,38.105801,3261,5.065,0.211
2988458,291.1713,38.19162,3666,4.797,0.453
2995313,292.66763,38.192047,2661,5.283,0.116
2998208,293.2843,38.171638,3572,4.858,0.397
3099491,286.46698,38.2066,3524,4.931,0.327
3099533,286.48367,38.25436,3448,4.924,0.327
3099900,286.61359,38.260262,3594,4.911,0.36
3101838,287.29581,38.269112,3288,5.033,0.231
3102763,287.61542,38.22607,3519,4.888,0.366
3103172,287.74741,38.216,3689,4.92,0.348
3103752,287.92276,38.22205,3388,4.939,0.308
3109945,289.78085,38.228142,3413,4.952,0.3
3111455,290.15894,38.294121,2661,5.283,0.116
3111995,290.30029,38.27779,3348,4.972,0.277
3119525,292.1084,38.293331,3685,4.76,0.485
3120477,292.32611,38.259201,3694,4.686,0.566
3215832,285.28113,38.376293,3695,4.802,0.442
3218997,286.52719,38.3083,3528,4.85,0.401
3219046,286.54498,38.326881,3000,5.191,0.144
3221339,287.38336,38.310661,3344,5.012,0.249
3228276,289.62579,38.337261,3249,5.124,0.182
3231403,290.43173,38.303329,3555,5.051,0.245
3232191,290.66968,38.301632,2661,5.283,0.116
